update,env_steps,active_side,block_index,red_policy_loss,red_entropy,red_approx_kl,red_clip_fraction,red_grad_norm,red_advantage_mean,red_advantage_std,red_advantage_nonzero_rate,red_value_loss,red_critic_grad_norm,blue_policy_loss,blue_entropy,blue_approx_kl,blue_clip_fraction,blue_grad_norm,blue_advantage_mean,blue_advantage_std,blue_advantage_nonzero_rate,blue_value_loss,blue_critic_grad_norm,red_mean_episode_return,blue_mean_episode_return,mean_episode_length,red_win_rate,blue_win_rate,draw_rate,boundary_rate,collision_rate,scenario_tail_chase_count,scenario_offset_head_on_count,scenario_crossing_count,tail_rear_red_count,tail_rear_blue_count,red_within_4000_rate,red_attack_distance_entry_rate,red_ata_gate_rate,red_aa_gate_rate,red_distance_and_ata_entry_rate,red_distance_and_aa_entry_rate,red_ata_and_aa_entry_rate,red_full_attack_envelope_entry_rate,red_yaw_rate_saturation_rate,red_pitch_rate_saturation_rate,red_acceleration_saturation_rate,red_nx_saturation_rate,red_nz_saturation_rate,red_phi_saturation_rate,red_acceleration_tracking_mae,red_acceleration_tracking_p95,red_pitch_rate_tracking_mae,red_pitch_rate_tracking_p95,red_yaw_rate_tracking_mae,red_yaw_rate_tracking_p95,red_action_yaw_mean,red_action_yaw_std,red_action_pitch_mean,red_action_pitch_std,red_action_speed_mean,red_action_speed_std,blue_within_4000_rate,blue_attack_distance_entry_rate,blue_ata_gate_rate,blue_aa_gate_rate,blue_distance_and_ata_entry_rate,blue_distance_and_aa_entry_rate,blue_ata_and_aa_entry_rate,blue_full_attack_envelope_entry_rate,blue_yaw_rate_saturation_rate,blue_pitch_rate_saturation_rate,blue_acceleration_saturation_rate,blue_nx_saturation_rate,blue_nz_saturation_rate,blue_phi_saturation_rate,blue_acceleration_tracking_mae,blue_acceleration_tracking_p95,blue_pitch_rate_tracking_mae,blue_pitch_rate_tracking_p95,blue_yaw_rate_tracking_mae,blue_yaw_rate_tracking_p95,blue_action_yaw_mean,blue_action_yaw_std,blue_action_pitch_mean,blue_action_pitch_std,blue_action_speed_mean,blue_action_speed_std,eval_red_win_rate,eval_blue_win_rate,eval_draw_rate,eval_decisive_rate,eval_boundary_rate,eval_collision_rate,eval_mean_episode_length,eval_red_within_4000_rate,eval_red_attack_distance_entry_rate,eval_red_ata_gate_rate,eval_red_aa_gate_rate,eval_red_distance_and_ata_entry_rate,eval_red_distance_and_aa_entry_rate,eval_red_ata_and_aa_entry_rate,eval_red_full_attack_envelope_entry_rate,eval_red_attack_to_kill_conversion_rate,eval_red_kill_rate,eval_red_mean_minimum_distance,eval_red_mean_minimum_combined_violation,eval_blue_within_4000_rate,eval_blue_attack_distance_entry_rate,eval_blue_ata_gate_rate,eval_blue_aa_gate_rate,eval_blue_distance_and_ata_entry_rate,eval_blue_distance_and_aa_entry_rate,eval_blue_ata_and_aa_entry_rate,eval_blue_full_attack_envelope_entry_rate,eval_blue_attack_to_kill_conversion_rate,eval_blue_kill_rate,eval_blue_mean_minimum_distance,eval_blue_mean_minimum_combined_violation
36,4608,red,2,-1.604575663805008e-05,2.7662670612335205,6.848201155662537e-05,0.0,0.6019613444805145,5.587935447692871e-09,0.9999986886978149,1.0,9.006437539937906e-05,0.010587316006422043,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,6,6,4,3,nan,nan,nan,nan,nan,nan,nan,nan,0.8828125,0.71875,0.609375,0.2421875,1.0,0.0,0.2671468549224538,1.860540208790429,0.15282997063409176,0.20088615849083377,0.2121381543202567,0.23789118317825303,-0.0757334882291616,0.4781739743549745,0.2245134229233372,0.431702751144956,0.11533824038269813,0.48141173276058535,nan,nan,nan,nan,nan,nan,nan,nan,0.859375,0.15625,0.6171875,0.3203125,0.96875,0.0,1.3236071999154184,4.966524058866086,0.042805597776509795,0.17409326004623255,0.14529233241972395,0.21181050420327532,-0.018332930689211935,0.47943103841592016,-0.25005666179276886,0.43082754427741465,0.10732391000783537,0.4785284766276363,0.9166666666666666,0.08333333333333333,0.0,1.0,0.9166666666666666,0.0,225.33333333333334,1.0,0.4166666666666667,0.75,1.0,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.08333333333333333,1.0,0.08333333333333333,1204.6248506789104,0.5895459196824601,1.0,0.4166666666666667,0.5,0.9166666666666666,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1204.6248506789104,0.7944224626394761
37,4736,red,2,-0.0006420016288757324,2.766367793083191,3.896653652191162e-05,0.0,0.5584729909896851,-1.4901161193847656e-08,0.9999998807907104,1.0,10.717663764953613,5.189335584640503,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.610000018030405,-13.820000123232603,276.0,1.0,0.0,0.0,1.0,0.0,7,7,7,4,3,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.8203125,0.71875,0.6328125,0.0859375,0.984375,0.0,0.14447768138687983,1.8963779217320458,0.13820489045908455,0.20189294580157,0.1872726942766817,0.24275253758471335,-0.16005068477534223,0.4253700891454167,0.23640379707649117,0.43754442062135374,0.26684748577463324,0.4819497775697709,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.8515625,0.53125,0.59375,0.21875,0.96875,0.0,0.5692295802241489,4.831953419333745,0.08665968534879427,0.185871301440034,0.16216207084309403,0.2206613342431952,-0.03721138775290456,0.5066703034299108,-0.15297093681874685,0.49140080069690684,0.032561862408329034,0.4648544034512044,0.9166666666666666,0.08333333333333333,0.0,1.0,0.9166666666666666,0.0,225.33333333333334,1.0,0.4166666666666667,0.75,1.0,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.08333333333333333,1.0,0.08333333333333333,1204.6248506789104,0.5895459196824601,1.0,0.4166666666666667,0.5,0.9166666666666666,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1204.6248506789104,0.7944224626394761
38,4864,red,2,-0.0008089952170848846,2.7664246559143066,0.00012999237515032291,0.0,0.45666585862636566,2.3283064365386963e-09,0.9999999403953552,1.0,6.169784307479858,3.1100229024887085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,-10.0,86.0,1.0,0.0,0.0,0.0,0.0,8,7,7,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.6640625,0.671875,0.0,1.0,0.0,5.442694905877232e-17,4.440892098500626e-16,0.1406294314744867,0.19816744473763526,0.1935838295137301,0.22884089155789408,-0.06180560389475431,0.4879040052191761,0.23788546210562345,0.4640090120758841,0.23822569171898067,0.4682636604109826,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8203125,0.4765625,0.578125,0.3046875,0.9375,0.0,0.8161233935731536,4.4016796159001075,0.08094723009979723,0.1797679962164302,0.14678687840693017,0.2029978192598397,0.05080782452796484,0.44559349863952435,-0.14563363009074237,0.45323747184234353,0.04922617755801184,0.48322925560899954,0.9166666666666666,0.08333333333333333,0.0,1.0,0.9166666666666666,0.0,225.33333333333334,1.0,0.4166666666666667,0.75,1.0,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.08333333333333333,1.0,0.08333333333333333,1204.6248506789104,0.5895459196824601,1.0,0.4166666666666667,0.5,0.9166666666666666,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1204.6248506789104,0.7944224626394761
39,4992,red,2,-0.0004948712885379791,2.766169786453247,8.381716907024384e-05,0.0,1.055236279964447,4.6566128730773926e-09,0.9999998807907104,1.0,0.03764994628727436,0.3151605427265167,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8,7,7,4,4,nan,nan,nan,nan,nan,nan,nan,nan,0.8359375,0.6796875,0.578125,0.0,1.0,0.0,4.8951728087720525e-17,2.9420910152566554e-16,0.140120698685172,0.2009491313179045,0.19039240374421074,0.2335319990320018,-0.06851639890373917,0.4736988474496462,0.23265935197559884,0.4691858928301348,0.13557692589347425,0.4514944020655413,nan,nan,nan,nan,nan,nan,nan,nan,0.859375,0.4765625,0.53125,0.2265625,0.9765625,0.0,0.6285290810019264,4.763429432795555,0.09042583464144362,0.1906352477337705,0.16021719004149967,0.21878577600616103,-0.046810044841549825,0.4901767005620815,-0.014431045696255751,0.5060608103885025,0.10033973630561377,0.44807824722823836,0.9166666666666666,0.08333333333333333,0.0,1.0,0.9166666666666666,0.0,225.33333333333334,1.0,0.4166666666666667,0.75,1.0,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.08333333333333333,1.0,0.08333333333333333,1204.6248506789104,0.5895459196824601,1.0,0.4166666666666667,0.5,0.9166666666666666,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1204.6248506789104,0.7944224626394761
40,5120,red,2,-0.0012595821171998978,2.7657880783081055,0.00017252727411687374,0.0,0.6316393315792084,-1.1175870895385742e-08,0.9999999403953552,1.0,0.008493056520819664,0.10555703192949295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8,7,7,4,4,nan,nan,nan,nan,nan,nan,nan,nan,0.8984375,0.6875,0.6171875,0.03125,0.984375,0.0,0.01798485168944787,8.881784197001252e-16,0.1392998096200483,0.20215051169799314,0.20250669952276645,0.23575323954904123,0.003382383845746517,0.5309293865178866,0.13091340897062764,0.4443728830376502,0.1794808341019234,0.47381666960088575,nan,nan,nan,nan,nan,nan,nan,nan,0.84375,0.4453125,0.59375,0.28125,0.9609375,0.0,0.9933902804828774,4.753820237075124,0.08972929932343078,0.18926261446019166,0.16724495721784138,0.2199317415094135,-0.03822750521976559,0.48728275677227373,-0.0996643551698071,0.47914074870347195,0.10565684611538018,0.45708974290423615,0.8333333333333334,0.16666666666666666,0.0,1.0,1.0,0.0,241.83333333333334,1.0,0.4166666666666667,0.5,1.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,1252.2334931832513,0.6722481706217422,1.0,0.4166666666666667,0.5,1.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,1252.2334931832513,0.7895332933848423
41,5248,red,2,-0.002060307189822197,2.765413999557495,0.00019501498900353909,0.0,0.8986263573169708,1.4901161193847656e-08,1.0,1.0,5.2338337898254395,2.1329017877578735,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,-10.0,260.0,1.0,0.0,0.0,1.0,0.0,8,8,7,4,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8671875,0.640625,0.6796875,0.1015625,1.0,0.0,0.0798409949406285,0.735219621937177,0.14005182254650916,0.2023461254811619,0.1996260111574843,0.23896421381864413,0.0069101104672881775,0.4998869643714947,0.22359721649627318,0.3870826980679229,0.25359512027716846,0.46460824500189735,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.875,0.46875,0.5234375,0.2890625,0.984375,0.0,0.9479830213810496,4.616199137819413,0.08605028335637976,0.18225207388644182,0.1648496493732884,0.21173973679948815,0.004786879330822558,0.4771298658804096,-0.10958180198940681,0.4619641840572661,0.06533296651468845,0.46374271593074373,0.8333333333333334,0.16666666666666666,0.0,1.0,1.0,0.0,241.83333333333334,1.0,0.4166666666666667,0.5,1.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,1252.2334931832513,0.6722481706217422,1.0,0.4166666666666667,0.5,1.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,1252.2334931832513,0.7895332933848423
42,5376,red,2,-0.0026828059926629066,2.765002965927124,0.00043967878445982933,0.0,1.0526637434959412,8.381903171539307e-08,0.9999997019767761,1.0,0.004037574282847345,0.14198481291532516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8,8,7,4,4,nan,nan,nan,nan,nan,nan,nan,nan,0.875,0.78125,0.59375,0.0703125,0.9921875,0.0,0.03209113522803583,0.28338274947609865,0.15530448270608943,0.2071835695680343,0.20508037251596317,0.24668658753095418,0.07408119631327281,0.44640323970931406,0.2636249846254941,0.4976229831645911,0.12029452514980221,0.4806085419852824,nan,nan,nan,nan,nan,nan,nan,nan,0.8671875,0.3671875,0.625,0.3125,0.9453125,0.0,1.0969806879559432,4.820842881289536,0.0721867656170598,0.17962123207633143,0.16036271819192743,0.22010464695716953,-0.034142519212764455,0.5061210882585453,-0.14489526340912562,0.4654900328409412,0.12316594939329661,0.49742571613211883,0.8333333333333334,0.16666666666666666,0.0,1.0,1.0,0.0,241.83333333333334,1.0,0.4166666666666667,0.5,1.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,1252.2334931832513,0.6722481706217422,1.0,0.4166666666666667,0.5,1.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,1252.2334931832513,0.7895332933848423
43,5504,red,2,0.00013511814177036285,2.7644712924957275,0.00027352944016456604,0.0,0.5418126285076141,-1.862645149230957e-09,0.9999998807907104,1.0,2.0494229793548584,0.6414205133914948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.4649999821558595,-8.210000021383166,268.0,1.0,0.0,0.0,1.0,0.0,8,8,8,4,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8359375,0.703125,0.7421875,0.0,0.9921875,0.0,2.0816681711721685e-17,0.0,0.13415635370285406,0.20059733361012733,0.18924525730211134,0.2329950972490691,-0.01842924894663156,0.4850820739531633,0.20690978906077362,0.44626736937086503,0.20419639817555435,0.49601215953062155,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8125,0.4375,0.5625,0.21875,0.9375,0.0,0.9092805065118831,4.956518272016263,0.07249820041847704,0.1816510784536075,0.14309880761375482,0.20292644315431468,-0.07714403006229986,0.43225317956184167,-0.13024974974632642,0.44559726838695785,0.05344511365728977,0.4730003502775593,0.8333333333333334,0.16666666666666666,0.0,1.0,1.0,0.0,241.83333333333334,1.0,0.4166666666666667,0.5,1.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,1252.2334931832513,0.6722481706217422,1.0,0.4166666666666667,0.5,1.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,1252.2334931832513,0.7895332933848423
44,5632,red,2,-0.00034789368510246277,2.763837218284607,9.402818977832794e-05,0.0,0.6461593806743622,-1.955777406692505e-08,1.0,1.0,6.296669960021973,3.0813461542129517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,-10.0,97.0,1.0,0.0,0.0,0.0,0.0,9,8,8,5,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.859375,0.703125,0.6328125,0.0,0.9921875,0.0,4.5102810375396984e-17,2.220446049250313e-16,0.15020307809765443,0.20513208119697263,0.20417099982439316,0.2414580681849919,-0.017574504687217996,0.490455120106343,0.3076483828990604,0.3702670580170463,0.18375785273383372,0.4884944824302077,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9140625,0.515625,0.609375,0.2421875,0.9765625,0.0,0.7698406271351791,4.860971519301184,0.08332676666059977,0.1816998723885954,0.16413510692042454,0.2157453088978874,0.03414958380017197,0.5379507553756552,-0.10113752106690299,0.49578159163059676,0.1033837862087239,0.48336075376467885,0.8333333333333334,0.16666666666666666,0.0,1.0,1.0,0.0,241.83333333333334,1.0,0.4166666666666667,0.5,1.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,1252.2334931832513,0.6722481706217422,1.0,0.4166666666666667,0.5,1.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,1252.2334931832513,0.7895332933848423
45,5760,red,2,-0.0014957226812839508,2.763129472732544,0.00012970203533768654,0.0,0.455832302570343,-7.450580596923828e-09,1.0000001192092896,1.0,2.4325939416885376,1.0733042359352112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,-10.0,249.0,1.0,0.0,0.0,1.0,0.0,9,9,8,5,4,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.90625,0.8203125,0.5,0.0,0.984375,0.0,2.1250362580715887e-17,0.0,0.14187658844126932,0.1939206964350918,0.18736176866624454,0.22136308146638722,0.07397060094081098,0.5002214063597724,0.20986275625182316,0.5066540796096257,0.11834166633343557,0.46720826795369647,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.875,0.625,0.59375,0.171875,0.984375,0.0,0.3921706959251598,3.394911047870495,0.09883227750872386,0.18864116153955707,0.16724193815605207,0.21376180555438312,0.05146844805676665,0.47692888931879823,-0.13933022931450978,0.4727524581834032,0.10249084309180034,0.44393622777536607,0.8333333333333334,0.16666666666666666,0.0,1.0,1.0,0.0,239.75,1.0,0.3333333333333333,0.5,1.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1338.1799457072061,0.8036655554768163,1.0,0.3333333333333333,0.5,1.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1338.1799457072061,0.7511758034835113
46,5888,red,2,-6.000138819217682e-05,2.7626211643218994,0.000109880231320858,0.0,0.552685409784317,3.259629011154175e-08,0.9999997615814209,1.0,0.003355991211719811,0.049847652204334736,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9,9,8,5,4,nan,nan,nan,nan,nan,nan,nan,nan,0.875,0.765625,0.6171875,0.0,0.9765625,0.0,2.371692252312041e-17,5.551115123125783e-17,0.14963740111525176,0.1954939165309134,0.18901133784850677,0.2238427002691427,0.06210137551170192,0.5051505160848684,0.318875684924933,0.4412456068083352,0.12050528040163044,0.48442990566349786,nan,nan,nan,nan,nan,nan,nan,nan,0.859375,0.359375,0.4375,0.3046875,0.96875,0.0,0.9936670274062978,4.406658495055181,0.07923228488779406,0.17477382789405912,0.14849135148429307,0.20810250416099957,-0.05917421726644534,0.47945665353129957,-0.09787808237524587,0.4640515852143401,0.06086376514576841,0.4309963836330308,0.8333333333333334,0.16666666666666666,0.0,1.0,1.0,0.0,239.75,1.0,0.3333333333333333,0.5,1.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1338.1799457072061,0.8036655554768163,1.0,0.3333333333333333,0.5,1.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1338.1799457072061,0.7511758034835113
47,6016,red,2,-0.00126582570374012,2.7623353004455566,0.000136528629809618,0.0,0.7856485545635223,2.0489096641540527e-08,0.9999995827674866,1.0,0.001959105604328215,0.10360363498330116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9,9,8,5,4,nan,nan,nan,nan,nan,nan,nan,nan,0.859375,0.7578125,0.5546875,0.0,0.9921875,0.0,6.16911036144252e-17,4.440892098500626e-16,0.1509219234307274,0.19807255227199055,0.1992504481467468,0.2288348373424806,-0.04592338284419384,0.4667503793346917,0.25458109574537957,0.4299831201348167,0.16408072398917284,0.44274387096362267,nan,nan,nan,nan,nan,nan,nan,nan,0.90625,0.2578125,0.625,0.34375,0.9453125,0.0,1.3961141816464377,4.68415160210139,0.06498057450307587,0.17418467854117015,0.15170432835749503,0.21042509353248373,0.038293877500109375,0.5122583027806857,-0.06923119832572411,0.4617873158532913,0.09615346824284643,0.4966878798769157,0.8333333333333334,0.16666666666666666,0.0,1.0,1.0,0.0,239.75,1.0,0.3333333333333333,0.5,1.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1338.1799457072061,0.8036655554768163,1.0,0.3333333333333333,0.5,1.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1338.1799457072061,0.7511758034835113
48,6144,red,2,0.0012580817565321922,2.762198805809021,0.0001207131426781416,0.0,1.4757238030433655,1.6763806343078613e-08,0.9999999403953552,1.0,6.03037428855896,3.740599274635315,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.169999988749623,-15.83500015269965,272.0,1.0,0.0,0.0,1.0,0.0,9,9,9,5,4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8203125,0.7265625,0.6015625,0.0,0.984375,0.0,4.423544863740858e-17,4.440892098500626e-16,0.14291841203268973,0.20412113476235688,0.1966364797343854,0.23942820457564493,-0.09115555807511555,0.4544783393833389,0.1554010231502616,0.4916545836697433,0.2416523534066073,0.4629882297147907,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.890625,0.328125,0.5703125,0.234375,0.9453125,0.0,0.9977240899576135,4.7950943135563495,0.07451658713441747,0.1827372834367026,0.16420687891897834,0.22461932987558933,0.02014007638899784,0.4919393799270288,-0.08086710594307078,0.44430467508935156,0.12893746628787994,0.4568546807500015,0.6666666666666666,0.25,0.08333333333333333,0.9166666666666666,1.0,0.0,238.5,1.0,0.3333333333333333,0.5,1.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1315.2799711664868,0.770447278010758,1.0,0.3333333333333333,0.5,1.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1315.2799711664868,0.7527536048867374
49,6272,blue,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00024092383682727814,2.754500389099121,2.658204175531864e-05,0.0,0.5976628065109253,1.30385160446167e-08,0.9999998807907104,1.0,0.03599552810192108,0.31244854629039764,nan,nan,nan,nan,nan,nan,nan,nan,10,10,9,5,5,nan,nan,nan,nan,nan,nan,nan,nan,0.921875,0.703125,0.7109375,0.0,0.9921875,0.0,2.0816681711721685e-17,0.0,0.13500698912195847,0.19263042240858602,0.18771086645083818,0.21873484746856892,0.09114469238556921,0.4539840672094399,0.2339168360936128,0.4535811159846191,0.38670226433168864,0.4521308850671018,nan,nan,nan,nan,nan,nan,nan,nan,0.8828125,0.6796875,0.5703125,0.1015625,0.9921875,0.0,0.04941257569990234,0.4087412345075944,0.115895377244503,0.1895127917195054,0.17526937179515906,0.21539636462846293,-0.03054970970697468,0.4570030742735587,-0.05436994627962122,0.43831706068682297,0.08673626826202963,0.46753607037091727,0.6666666666666666,0.25,0.08333333333333333,0.9166666666666666,1.0,0.0,238.5,1.0,0.3333333333333333,0.5,1.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1315.2799711664868,0.770447278010758,1.0,0.3333333333333333,0.5,1.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1315.2799711664868,0.7527536048867374
